term_code,course_id,subject,course_num,instr_method,faculty_id
Fall 2021,be7ee771,Mahjong Strategy,000D,Online Synchronous,8e06c44c
Fall 2021,50727605,Mahjong Strategy,000D,Online Synchronous,36c4c411
Fall 2021,f0a4d7a5,Mahjong Strategy,000D,Online Asynchronous,16483b70
Fall 2021,3803de09,Mahjong Strategy,000G,Online Synchronous,045a390a
Fall 2021,08504c05,Mahjong Strategy,001,Online Synchronous,8bb57dea
Fall 2021,4917c11a,Mahjong Strategy,001,Online Synchronous,30daba30
Fall 2021,45742f76,Mahjong Strategy,001,Online Synchronous,30daba30
Fall 2021,1bf69555,Mahjong Strategy,001,Online Synchronous,35594791
Fall 2021,a1bebd6d,Mahjong Strategy,001,Online Synchronous,b72d0bb9
Fall 2021,afd541e3,Mahjong Strategy,001,Online Synchronous,1f08d8f0
Fall 2021,d76b872b,Mahjong Strategy,001C,Online Synchronous,b72d0bb9
Fall 2021,a8021a38,Mahjong Strategy,001C,Online Synchronous,1f08d8f0
Fall 2021,12da36be,Mahjong Strategy,002,Online Synchronous,1fa38796
Fall 2021,84e3a411,Mahjong Strategy,002,Online Synchronous,7c82b00c
Fall 2021,acb466a9,Mahjong Strategy,002,Online Synchronous,045a390a
Fall 2021,d5ca445f,Mahjong Strategy,003A,Online Synchronous,2e64caf3
Fall 2021,97f3fcd6,Mahjong Strategy,003A,Online Synchronous,2e64caf3
Fall 2021,81e02dee,Mahjong Strategy,003A,Online Synchronous,5004ca71
Fall 2021,d2c536c9,Mahjong Strategy,003A,Online Synchronous,1fa38796
Fall 2021,a4d9df10,Mahjong Strategy,003A,Online Synchronous,35594791
Fall 2021,c9951997,Mahjong Strategy,003A,Online Synchronous,35594791
Fall 2021,f1501400,Mahjong Strategy,003B,Online Synchronous,bb383f76
Fall 2021,f604ca05,Mahjong Strategy,003B,Online Synchronous,bb383f76
Fall 2021,cf709a6a,Mahjong Strategy,003B,Online Synchronous,30f54ddd
Fall 2021,9956edf1,Mahjong Strategy,003B,Online Asynchronous,16483b70
Fall 2021,6dba3cf4,Mahjong Strategy,004A,Online Synchronous,0a428e2a
Fall 2021,9955e8c8,Mahjong Strategy,004A,Online Synchronous,30f54ddd
Fall 2021,d6ee7464,Mahjong Strategy,004A,Online Synchronous,43e0ed7d
Fall 2021,9e8ec9f3,Mahjong Strategy,004A,Online Synchronous,43e0ed7d
Fall 2021,25bc76d9,Mahjong Strategy,004A,Online Synchronous,77454894
Fall 2021,4a816ec1,Mahjong Strategy,004B,Online Asynchronous,16483b70
Fall 2021,3f26be2b,Mahjong Strategy,004C,Online Synchronous,30f54ddd
Fall 2021,20e84103,Mahjong Strategy,004C,Online Asynchronous,16483b70
Fall 2021,328cbbf4,Mahjong Strategy,010,Online Synchronous,56306ff5
Fall 2021,322d4c7c,Mahjong Strategy,010,Online Synchronous,4d07d7e3
Fall 2021,4a72162f,Mahjong Strategy,010,Online Synchronous,8e06c44c
Fall 2021,f42de7fd,Mahjong Strategy,010,Online Synchronous,5004ca71
Fall 2021,3d7720b2,Mahjong Strategy,010,Online Synchronous,36c4c411
Fall 2021,f04f4bf4,Mahjong Strategy,010,Online Synchronous,3cbbf748
Fall 2021,759a3a3b,Mahjong Strategy,010,Online Synchronous,74bd7ee3
Fall 2021,2cb81496,Mahjong Strategy,010,Online Synchronous,82735270
Fall 2021,ce6de270,Mahjong Strategy,010,Online Synchronous,dea94920
Fall 2021,8e349384,Mahjong Strategy,010,Online Synchronous,dea94920
Fall 2021,dd6453d7,Mahjong Strategy,010,Online Synchronous,82005d92
Fall 2021,dff84d37,Mahjong Strategy,010,Online Synchronous,8bb57dea
Fall 2021,fe869aae,Mahjong Strategy,010,Online Synchronous,c42dacfd
Fall 2021,546f214a,Mahjong Strategy,010,Online Synchronous,1f08d8f0
Fall 2021,3666b21a,Mahjong Strategy,010,Online Synchronous,1fa38796
Fall 2021,669254be,Mahjong Strategy,010,Online Synchronous,bb383f76
Fall 2021,73edd4c4,Mahjong Strategy,010,Online Synchronous,74bd7ee3
Fall 2021,f38e01c7,Mahjong Strategy,010,Online Asynchronous,bda7d186
Fall 2021,d57c4893,Mahjong Strategy,010,Online Asynchronous,bda7d186
Fall 2021,64433aee,Mahjong Strategy,010,Online Asynchronous,4393de6e
Fall 2021,21c1733e,Mahjong Strategy,010,Online Asynchronous,4393de6e
Fall 2021,855a2209,Eel Catching,001A,Online Synchronous,807896f4
Fall 2021,7c38ba0a,Eel Catching,001C,Online Asynchronous,3d9863ef
Fall 2021,6afb8359,Mahjong Strategy,010C,Online Synchronous,1f08d8f0
Fall 2021,a1f017a7,Mahjong Strategy,010C,Online Synchronous,1fa38796
Fall 2021,0749ecd5,Mahjong Strategy,010C,Online Synchronous,bb383f76
Fall 2021,737a6e55,Mahjong Strategy,010C,Online Synchronous,74bd7ee3
Fall 2021,92c656a9,Mahjong Strategy,012,Online Synchronous,75391c8d
Fall 2021,83b243d1,Mahjong Strategy,012,Online Synchronous,75391c8d
Fall 2021,2bfe8e62,Mahjong Strategy,012,Online Synchronous,2e64caf3
Fall 2021,86753e4c,Mahjong Strategy,012,Online Asynchronous,4393de6e
Fall 2021,7cc76cd0,Mahjong Strategy,012,Online Asynchronous,7c82b00c
Fall 2021,88823e19,Mahjong Strategy,012C,Online Synchronous,2e64caf3
Fall 2021,9cd4093e,Mahjong Strategy,014,Online Synchronous,b72d0bb9
Fall 2021,86bf8463,Mahjong Strategy,019,Online Synchronous,7c82b00c
Fall 2021,6947847a,Mahjong Strategy,105,Online Synchronous,3b62d036
Fall 2021,8caa5076,Mahjong Strategy,105,Online Synchronous,3b62d036
Fall 2021,48d753ff,Mahjong Strategy,106,Online Synchronous,3b62d036
Fall 2021,7b810ae6,Mahjong Strategy,106,Online Synchronous,dea94920
Fall 2021,da6775dc,Mahjong Strategy,106,Online Synchronous,82005d92
Fall 2021,f4335eb5,Mahjong Strategy,106,Online Synchronous,30ec5198
Fall 2021,1785d519,Mahjong Strategy,106,Online Asynchronous,4393de6e
Fall 2021,483fd22e,Mahjong Strategy,106,Online Asynchronous,30ec5198
Fall 2021,6f451884,Mahjong Strategy,106C,Online Synchronous,82005d92
Fall 2021,d57a6a7a,Eel Catching,044,In-Person,b799d602
Fall 2021,e8f21287,Crocheting,001,In-Person,d72fc7c3
Fall 2021,f7650ad1,Crocheting,001,In-Person,d72fc7c3
Fall 2021,55142fe5,Crocheting,008,Online Asynchronous,d72fc7c3
Fall 2021,2e74a477,Crocheting,001,Online Asynchronous,d72fc7c3
Fall 2021,b3d50d99,Crocheting,004,Online Asynchronous,d72fc7c3
Fall 2021,24c17302,Crocheting,012,Online Asynchronous,028ed6ef
Fall 2021,857ac0ce,Crocheting,012,Online Asynchronous,028ed6ef
Fall 2021,08de57b8,Crocheting,007,Online Asynchronous,028ed6ef
Fall 2021,10672195,Crocheting,001,Online Asynchronous,d766b048
Fall 2021,486b03b3,Crocheting,008,Online Synchronous,f2dfdec3
Fall 2021,320bf14c,Crocheting,001,Online Asynchronous,f2dfdec3
Fall 2021,eccf1404,Crocheting,001,Online Asynchronous,f2dfdec3
Fall 2021,09d7b85f,Crocheting,004,Online Asynchronous,f2dfdec3
Fall 2021,35817482,Crocheting,004,Online Asynchronous,f2dfdec3
Fall 2021,e49a8a4f,Crocheting,012,Online Asynchronous,509250c8
Fall 2021,5faa5eb5,Crocheting,020,Online Asynchronous,509250c8
Fall 2021,1fcd95ce,Crocheting,020,Online Asynchronous,509250c8
Fall 2021,b5b1b131,Crocheting,001,Online Asynchronous,509250c8
Fall 2021,16d0b9f9,Crocheting,001,Online Asynchronous,509250c8
Fall 2021,a4b81228,Crocheting,001,Online Synchronous,7fb7228a
Fall 2021,12b00db1,Crocheting,001,Online Synchronous,7fb7228a
Fall 2021,fbd17c18,Crocheting,001,Online Synchronous,7fb7228a
Fall 2021,50af4a61,Crocheting,001,Online Asynchronous,69348504
Fall 2021,5810a249,Crocheting,001,Online Synchronous,419b60ce
Fall 2021,9de80aef,Crocheting,010,Online Synchronous,419b60ce
Fall 2021,3da0cc8c,Crocheting,001,Online Asynchronous,32bac75b
Fall 2021,d404225d,Crocheting,010,Online Asynchronous,32bac75b
Fall 2021,f65e24e0,Crocheting,001,Online Asynchronous,72389931
Fall 2021,732fc83b,Crocheting,001,Online Asynchronous,4daefd6e
Fall 2021,05cf8dbc,Crocheting,001,Online Synchronous,419b60ce
Fall 2021,e55f6127,Crocheting,001,Online Asynchronous,d766b048
Fall 2021,63947760,Crocheting,001,Online Asynchronous,72389931
Fall 2021,154b06ca,Eel Catching,001B,In-Person,b799d602
Fall 2021,0aff558e,Eel Catching,001A,Online Asynchronous,0e343a50
Fall 2021,53c6b218,Eel Catching,099X,Online Asynchronous,0e343a50
Fall 2021,1abde9e6,Eel Catching,001A,Online Synchronous,c6c1d748
Fall 2021,2c59007a,Eel Catching,001B,Online Asynchronous,b5e59e1c
Fall 2021,7ee88e20,Eel Catching,905,Online Synchronous,3b14eeea
Fall 2021,fa634167,Eel Catching,001A,Online Synchronous,1e36e8a1
Fall 2021,9e09cdb4,Eel Catching,001C,Online Synchronous,703d15c9
Fall 2021,850bd3c3,Eel Catching,001B,Online Asynchronous,91de6e7e
Fall 2021,14f88a5f,Eel Catching,001A,Online Synchronous,807896f4
Fall 2021,e7c85d2a,Eel Catching,903,Online Synchronous,c6c1d748
Fall 2021,81d43d27,Eel Catching,001A,Online Synchronous,e11e3b64
Fall 2021,94bef8a0,Eel Catching,001B,Online Asynchronous,3d9863ef
Fall 2021,7259c7e7,Eel Catching,007A,In-Person,78c87a35
Fall 2021,b28e5be6,Eel Catching,001A,Online Asynchronous,b5e59e1c
Fall 2021,d858718a,Eel Catching,001A,Online Synchronous,3b14eeea
Fall 2021,295da6fd,Eel Catching,001A,In-Person,b799d602
Fall 2021,4591098a,Eel Catching,001B,Online Synchronous,76ccc3a2
Fall 2021,a1a9b59a,Eel Catching,001A,Online Synchronous,1e36e8a1
Fall 2021,4aa15f34,Eel Catching,099X,Online Asynchronous,1e36e8a1
Fall 2021,2a2fe6ac,Eel Catching,001B,Online Asynchronous,91de6e7e
Fall 2021,0f39a651,Eel Catching,001A,Online Synchronous,703d15c9
Fall 2021,2eb83e16,Eel Catching,001A,In-Person,78c87a35
Fall 2021,bbc0d2fe,Eel Catching,070,Online Synchronous,ddc786c8
Fall 2021,9488ea29,Eel Catching,001A,Online Synchronous,4cd2e62e
Fall 2021,8cc733c7,Eel Catching,001A,Online Synchronous,4cd2e62e
Fall 2021,99563417,Eel Catching,001B,Online Asynchronous,0e343a50
Fall 2021,a0c0d00d,Eel Catching,080,Online Synchronous,ddc786c8
Fall 2021,f1140fb4,Eel Catching,001A,Online Synchronous,c6c1d748
Fall 2021,75f79d03,Eel Catching,001A,Online Synchronous,e11e3b64
Fall 2021,9aeeb3de,Eel Catching,001A,Online Synchronous,c6c1d748
Fall 2021,fc332339,Eel Catching,001B,Online Asynchronous,7c62ee9a
Fall 2021,a8fd7742,Eel Catching,001C,Online Synchronous,703d15c9
Fall 2021,a060635c,Eel Catching,001A,Online Synchronous,3d55b6a3
Fall 2021,2ff2c9cd,Eel Catching,099X,Online Synchronous,3d55b6a3
Fall 2021,0f302c2a,Eel Catching,001A,Online Synchronous,9fbdabcb
Fall 2021,22986d6a,Eel Catching,018,Online Asynchronous,1e36e8a1
Fall 2021,d28c2666,Eel Catching,001C,Online Synchronous,9fbdabcb
Fall 2021,500c675e,Eel Catching,001B,Online Synchronous,703d15c9
Fall 2021,4dfb5479,Eel Catching,001A,In-Person,78c87a35
Fall 2021,71db6c4d,Eel Catching,001A,Online Synchronous,ddc786c8
Fall 2021,bdb342e0,Eel Catching,001B,Online Synchronous,c6c1d748
Fall 2021,80389344,Eel Catching,001A,Online Asynchronous,7c62ee9a
Fall 2021,97fd8397,Eel Catching,005B,Online Asynchronous,1e36e8a1
Fall 2021,a1245692,Apple Picking,001A,Online Asynchronous,647b620c
Fall 2021,ad4261ab,Eel Catching,001B,Online Asynchronous,3d9863ef
Fall 2021,4bac50c1,Eel Catching,001B,In-Person,78c87a35
Fall 2021,bd0e4c87,Apple Picking,001A,Online Asynchronous,bfbd13fa
Fall 2021,59868bdf,Eel Catching,001A,Online Synchronous,0d9fb080
Fall 2021,b0dc1bf8,Apple Picking,001B,Online Asynchronous,bfbd13fa
Fall 2021,b525aeab,Eel Catching,001A,Online Synchronous,ddc786c8
Fall 2021,f2346520,Apple Picking,001D,Online Synchronous,bfbd13fa
Fall 2021,3784f087,Apple Picking,001DH,Online Synchronous,bfbd13fa
Fall 2021,33dc49ff,Eel Catching,001A,Online Synchronous,76ccc3a2
Fall 2021,3b4485c7,Apple Picking,001E,Online Asynchronous,647b620c
Fall 2021,6e1ee7f6,Apple Picking,004,Online Asynchronous,647b620c
Fall 2021,0412b3e7,Apple Picking,004,Online Asynchronous,647b620c
Fall 2021,ad3dd7f3,Apple Picking,010,Online Asynchronous,647b620c
Fall 2021,2bab8c61,Apple Picking,013,Online Asynchronous,bfbd13fa
