student_id,favorite_team,demographic,low_income,first_gen
00051fb0,Washington Nationals,Fire,Yes,Yes
001357af,Washington Nationals,Grass,No,No
00250f8a,Washington Nationals,Fire,No,No
00279692,Milwaukee Brewers,Water,No,No
0034a9c6,Washington Nationals,Fire,Yes,Yes
0041c878,Washington Nationals,Dragon,Yes,No
004bc5df,Washington Nationals,Fire,No,Yes
00507837,Washington Nationals,Water,No,No
00542699,Washington Nationals,Water,No,No
00579175,Milwaukee Brewers,Fire,No,Yes
005cf43c,Washington Nationals,Fire,No,No
0061902b,Milwaukee Brewers,Fire,No,No
00657fc3,Washington Nationals,Water,No,No
006d41a3,Washington Nationals,Water,Yes,Yes
006f6ca4,Milwaukee Brewers,Fire,No,No
007591d5,Milwaukee Brewers,Water,No,No
007b75aa,Washington Nationals,Water,No,No
009fa510,Washington Nationals,Fire,No,No
00a2c258,Washington Nationals,Fairy,No,Yes
00d2f5c8,Milwaukee Brewers,Fire,No,No
00e1a76c,Milwaukee Brewers,Psychic,Yes,No
00e3d456,Washington Nationals,Water,Yes,Unknown
00ebd89a,Milwaukee Brewers,Water,No,No
01079cc3,Washington Nationals,Fire,No,No
010c59f1,Milwaukee Brewers,Water,Yes,No
012aac77,Milwaukee Brewers,Grass,No,No
01303047,Washington Nationals,Water,No,No
0138b28e,Milwaukee Brewers,Water,No,No
0145a5b3,Washington Nationals,Water,No,No
0147a655,Washington Nationals,Water,No,No
0166278b,Milwaukee Brewers,Water,No,No
016e98e1,Milwaukee Brewers,Grass,No,No
01779612,Washington Nationals,Grass,No,No
018294b3,Milwaukee Brewers,Grass,No,No
0184c2b3,Baltimore Orioles,Water,No,Yes
018867e6,Washington Nationals,Fire,Yes,Yes
01986cf9,Washington Nationals,Water,No,No
019afc32,Milwaukee Brewers,Water,No,No
01a09f5d,Milwaukee Brewers,Fire,Yes,Yes
01a72f2d,Washington Nationals,Grass,Yes,Unknown
01bc9291,Washington Nationals,Fairy,Yes,No
01bce05d,Milwaukee Brewers,Water,Yes,No
01c19cd8,Washington Nationals,Grass,No,No
01c8210e,Washington Nationals,Water,No,No
01d49a74,Milwaukee Brewers,Fire,No,No
01da94e7,Washington Nationals,Water,Yes,No
01de062c,Milwaukee Brewers,Water,No,No
01e0fd73,Milwaukee Brewers,Water,No,No
01f65b1c,Washington Nationals,Water,No,No
01f725ff,Washington Nationals,Water,No,No
01f88f25,Washington Nationals,Fairy,No,No
01f8de23,Washington Nationals,Water,No,No
01fd328b,Washington Nationals,Fairy,Yes,Yes
02037fde,Milwaukee Brewers,Psychic,Yes,No
021932be,Baltimore Orioles,Water,Yes,No
022b95c0,Milwaukee Brewers,Fire,Yes,No
022ca3c7,Milwaukee Brewers,Fire,Yes,Yes
023080f0,Milwaukee Brewers,Water,No,No
0237037a,Washington Nationals,Fire,Yes,Yes
023d8b81,Washington Nationals,Grass,Yes,No
023ff2c0,Milwaukee Brewers,Fire,No,No
0241a1ae,Milwaukee Brewers,Water,No,No
0244e3e7,Milwaukee Brewers,Water,Yes,No
02503d68,Washington Nationals,Fire,No,Yes
0250a332,Washington Nationals,Water,No,No
0256de09,Milwaukee Brewers,Water,No,No
02573f0b,Milwaukee Brewers,Fire,No,No
026423c3,Washington Nationals,Fairy,No,No
026557be,Milwaukee Brewers,Grass,No,Unknown
026a3f64,Washington Nationals,Grass,No,No
027b2ae7,Washington Nationals,Water,No,No
