term_code,course_id,subject,course_num,student_id,final_grade
Fall 2021,19f3d2e5,Apple Picking,049C,5960cbb1,P
Fall 2021,d57c4893,Mahjong Strategy,010,5ae7e72d,W
Fall 2021,35817482,Crocheting,004,ad2bcfda,A
Fall 2021,1785d519,Mahjong Strategy,106,44006fe7,W
Fall 2021,da6775dc,Mahjong Strategy,106,db6d4b12,A
Fall 2021,6f451884,Mahjong Strategy,106C,db6d4b12,P
Fall 2021,d57a6a7a,Eel Catching,044,5a3d4449,EW
Fall 2021,de191b8d,Apple Picking,062B,784d7498,W
Fall 2021,f42de7fd,Mahjong Strategy,010,25e43882,W
Fall 2021,35817482,Crocheting,004,69ac057e,A
Fall 2021,1af566c4,Eel Catching,001A,d98b9034,A
Fall 2021,b798bdce,Apple Picking,088A,0cb7d052,A
Fall 2021,331eae9e,Eel Catching,001A,b7c7594d,F
Fall 2021,86753e4c,Mahjong Strategy,012,7e5afc72,W
Fall 2021,ad3dd7f3,Apple Picking,010,790f910b,B
Fall 2021,b3d50d99,Crocheting,004,aaa16f06,B
Fall 2021,d57a6a7a,Eel Catching,044,662da358,A
Fall 2021,f38e01c7,Mahjong Strategy,010,1de60b79,C
Fall 2021,93afe466,Apple Picking,062C,ebcaa140,A
Fall 2021,b5b1b131,Crocheting,001,fc6dcad5,W
Fall 2021,053baf3b,Apple Picking,065B,461441f5,A
Fall 2021,21c1733e,Mahjong Strategy,010,53a90eb8,B
Fall 2021,d57c4893,Mahjong Strategy,010,9332fab1,B
Fall 2021,54a79340,Apple Picking,033A,12a3e0e1,P
Fall 2021,1785d519,Mahjong Strategy,106,0356ce4c,W
Fall 2021,7199a210,Apple Picking,065A,8caebc62,C
Fall 2021,afd541e3,Mahjong Strategy,001,cc345ddf,A
Fall 2021,a8021a38,Mahjong Strategy,001C,cc345ddf,P
Fall 2021,322d4c7c,Mahjong Strategy,010,6fb245b7,A
Fall 2021,94bef8a0,Eel Catching,001B,a4eaefed,A
Fall 2021,f42de7fd,Mahjong Strategy,010,a4eaefed,A
Fall 2021,1785d519,Mahjong Strategy,106,ee93fb50,A
Fall 2021,483fd22e,Mahjong Strategy,106,53c37b54,W
Fall 2021,97fd8397,Eel Catching,005B,da232526,A
Fall 2021,7259c7e7,Eel Catching,007A,da232526,A
Fall 2021,bbc0d2fe,Eel Catching,070,da232526,A
Fall 2021,3803de09,Mahjong Strategy,000G,da232526,B
Fall 2021,2d43be09,Apple Picking,062A,6774ecfc,A
Fall 2021,54a79340,Apple Picking,033A,fb743da2,A
Fall 2021,2bfe8e62,Mahjong Strategy,012,39c581ee,A
Fall 2021,88823e19,Mahjong Strategy,012C,39c581ee,P
Fall 2021,b0dc1bf8,Apple Picking,001B,d776a977,B
Fall 2021,3b4485c7,Apple Picking,001E,d776a977,A
Fall 2021,05cf8dbc,Crocheting,001,d776a977,B
Fall 2021,7c70f34c,Eel Catching,001B,0c252f97,A
Fall 2021,b83c5a88,Apple Picking,067A,57be386c,A
Fall 2021,d5ca445f,Mahjong Strategy,003A,c894716b,A
Fall 2021,1cbb6af3,Apple Picking,047D,26ce3e4b,A
